품목명,HS코드
볼낙(적어를 포함한다),303899050
먹장어(대서양 또는 태평양),303899070
밀크피쉬,303899080
기타 ,30389909
민어,303899091
까나리,303899092
이빨고기[디소스티쿠스(Dissostichus)속은 제외한다],303899093
명란,303912010
나일 퍼치[라테스 니로티쿠스(Lates niloticus)],304330000
"태평양 연어[옹코링쿠스 넬카(Oncorhynchus nerka)ㆍ옹코링쿠스 고르부스카(Oncorhynchus gorbuscha)ㆍ옹코링쿠스 케타(Oncorhynchus keta)ㆍ옹코링쿠스 차비차(Oncorhynchus tschawytscha)ㆍ옹코링쿠스 키수츠(Oncorhynchus kisutch)ㆍ옹코링쿠스 마소(Oncorhynchus masou)ㆍ옹코링쿠스 로두루스(Oncorhynchus rhodurus)], 대서양 연어[살모 살라(Salmo salar)], 다뉴브 연어[후코 후코(Hucho hucho)]",304410000
가자미,304431000
브레그마세로티대(Bregmacerotidae)과ㆍ유클리티대(Euclichthyidae)과ㆍ가디대(Gadidae)과ㆍ마크로우리대(Macrouridae)과ㆍ멜라노니대(Melanonidae)과ㆍ메르루치대(Merlucciidae)과ㆍ모리대(Moridae)과ㆍ무라에놀레피디대(Muraenolepididae)과의 어류,304440000
참다랑어,304492000
연육,304511000
연어과,304520000
"곱상어, 그 밖의 상어",304881000
붕장어의 것,304891000
이빨고기[디소스티쿠스(Dissostichus)속은 제외한다]의 것,304892000
틸라피아[오레오크로미스(Oreochromis)속은 제외한다]의 것,304893000
쥐치의 것,304894000
고등어의 것,304895000
냉동 연육,304911000
건조한 어란(魚卵)과 어백(魚白),305202000
훈제한 어란(魚卵)과 어백(魚白),305203000
염장이나 염수장한 어란(魚卵)과 어백(魚白),3052040
명태의 것,305204010
조기의 것,305204020
청어의 것,305204030
건조한 것,305311000
염장이나 염수장한 것,305312000
